DE	PARA					
9533.CTR 009533	4260					
9169.CTR 009169	4303					
7119.CTR 007119	4137					
9958.CTR 009958	4198					
9400.CTR 009400	4358					
9401.CTR 008861	4090					
10410CTR 010410	3950					
7232.CTR 007232	4294					
7000.CTR 007000	3898					
7296.CTR 007296	4144					
5373.CTR 005373	4097					
9912.CTR 009912	4306					
6141.CTR 006141						
7933.CTR 007933	4167					
9878.CTR 009878	4353					
6876.CTR 006876	3967					
7926.CTR 007926	4363					
9287.CTR 009287	3853					
10136CTR 010136	3963					
9527.CTR 009527	4125					
9877.CTR 009877	4113					
9978.CTR 009978	3902					
7698.CTR 007698	3850					
6336.CTR 006336	4288					
9182.CTR 009182	3987					
6044.CTR 006044	4011					
9676.CTR 009676	3876					
9922.CTR 009922	4108					
9829.CTR 009829	3925					
7691.CTR 007691	4148					
8790.CTR 008790	4160					
10067CTR 010067	4348					
9338.CTR 009338	4362					
9339.CTR 007896	4404					
10344CTR 010344	4099					
10345CTR 10345	3919					
9286.CTR 009286	4356					
10380CTR 010380	4221					
9448.CTR 009448	4327					
6175.CTR 006175	3913					
10308CTR 010308	4243					
9465.CTR 009465	4393					
6675.CTR 006675	4332					
5572.CTR 005572	4197					
10451CTR 010451	4325					
9409.CTR 009409	4335					
